views,date
311.921932,2021-05-20T00:00:00Z
305.70139,2021-05-21T00:00:00Z
305.456576,2021-05-22T00:00:00Z
334.565836,2021-05-23T00:00:00Z
331.728808,2021-05-24T00:00:00Z
321.960612,2021-05-25T00:00:00Z
320.438194,2021-05-26T00:00:00Z
317.758091,2021-05-27T00:00:00Z
313.760955,2021-05-28T00:00:00Z
321.560628,2021-05-29T00:00:00Z
327.107038,2021-05-30T00:00:00Z
321.098013,2021-05-31T00:00:00Z
316.004515,2021-06-01T00:00:00Z
319.181211,2021-06-02T00:00:00Z
311.290159,2021-06-03T00:00:00Z
303.261685,2021-06-04T00:00:00Z
289.61865,2021-06-05T00:00:00Z
309.609402,2021-06-06T00:00:00Z
315.046421,2021-06-07T00:00:00Z
302.029278,2021-06-08T00:00:00Z
301.182357,2021-06-09T00:00:00Z
299.566034,2021-06-10T00:00:00Z
295.146233,2021-06-11T00:00:00Z
292.573132,2021-06-12T00:00:00Z
304.191512,2021-06-13T00:00:00Z
304.234855,2021-06-14T00:00:00Z
293.822377,2021-06-15T00:00:00Z
289.955735,2021-06-16T00:00:00Z
303.896926,2021-06-17T00:00:00Z
290.801957,2021-06-18T00:00:00Z
292.129254,2021-06-19T00:00:00Z
300.519918,2021-06-20T00:00:00Z
300.304853,2021-06-21T00:00:00Z
294.117399,2021-06-22T00:00:00Z
295.340368,2021-06-23T00:00:00Z
294.557545,2021-06-24T00:00:00Z
289.140853,2021-06-25T00:00:00Z
292.109164,2021-06-26T00:00:00Z
307.247279,2021-06-27T00:00:00Z
310.044814,2021-06-28T00:00:00Z
314.337264,2021-06-29T00:00:00Z
316.834474,2021-06-30T00:00:00Z
325.657505,2021-07-01T00:00:00Z
315.59065,2021-07-02T00:00:00Z
321.193498,2021-07-03T00:00:00Z
326.276552,2021-07-04T00:00:00Z
330.929285,2021-07-05T00:00:00Z
333.600269,2021-07-06T00:00:00Z
338.11721,2021-07-07T00:00:00Z
317.444763,2021-07-08T00:00:00Z
305.267364,2021-07-09T00:00:00Z
296.026188,2021-07-10T00:00:00Z
329.266188,2021-07-11T00:00:00Z
321.191635,2021-07-12T00:00:00Z
313.264683,2021-07-13T00:00:00Z
310.744358,2021-07-14T00:00:00Z
310.570389,2021-07-15T00:00:00Z
304.892647,2021-07-16T00:00:00Z
307.335303,2021-07-17T00:00:00Z
319.047647,2021-07-18T00:00:00Z
314.126138,2021-07-19T00:00:00Z
313.599233,2021-07-20T00:00:00Z
307.130157,2021-07-21T00:00:00Z
315.73439,2021-07-22T00:00:00Z
324.278081,2021-07-23T00:00:00Z
315.454719,2021-07-24T00:00:00Z
328.157219,2021-07-25T00:00:00Z
325.222226,2021-07-26T00:00:00Z
319.207475,2021-07-27T00:00:00Z
313.02578,2021-07-28T00:00:00Z
313.957121,2021-07-29T00:00:00Z
315.764037,2021-07-30T00:00:00Z
318.625355,2021-07-31T00:00:00Z
333.144561,2021-08-01T00:00:00Z
320.570013,2021-08-02T00:00:00Z
312.812429,2021-08-03T00:00:00Z
312.665692,2021-08-04T00:00:00Z
313.922147,2021-08-05T00:00:00Z
308.158272,2021-08-06T00:00:00Z
319.242436,2021-08-07T00:00:00Z
332.396017,2021-08-08T00:00:00Z
302.469142,2021-08-09T00:00:00Z
309.962748,2021-08-10T00:00:00Z
312.892036,2021-08-11T00:00:00Z
311.573083,2021-08-12T00:00:00Z
309.491447,2021-08-13T00:00:00Z
305.749004,2021-08-14T00:00:00Z
320.598768,2021-08-15T00:00:00Z
319.864252,2021-08-16T00:00:00Z
316.651558,2021-08-17T00:00:00Z
310.059524,2021-08-18T00:00:00Z
313.459563,2021-08-19T00:00:00Z
312.361291,2021-08-20T00:00:00Z
306.628644,2021-08-21T00:00:00Z
315.294411,2021-08-22T00:00:00Z
312.569778,2021-08-23T00:00:00Z
314.925772,2021-08-24T00:00:00Z
310.295229,2021-08-25T00:00:00Z
307.681301,2021-08-26T00:00:00Z
307.185802,2021-08-27T00:00:00Z
305.717359,2021-08-28T00:00:00Z
321.118926,2021-08-29T00:00:00Z
323.969656,2021-08-30T00:00:00Z
321.829469,2021-08-31T00:00:00Z
306.837186,2021-09-01T00:00:00Z
305.119537,2021-09-02T00:00:00Z
298.477284,2021-09-03T00:00:00Z
302.556145,2021-09-04T00:00:00Z
314.080179,2021-09-05T00:00:00Z
321.4163,2021-09-06T00:00:00Z
316.984419,2021-09-07T00:00:00Z
312.720017,2021-09-08T00:00:00Z
310.368096,2021-09-09T00:00:00Z
300.831923,2021-09-10T00:00:00Z
306.804077,2021-09-11T00:00:00Z
319.804295,2021-09-12T00:00:00Z
317.94237,2021-09-13T00:00:00Z
329.198849,2021-09-14T00:00:00Z
345.324904,2021-09-15T00:00:00Z
318.327567,2021-09-16T00:00:00Z
313.279064,2021-09-17T00:00:00Z
303.936316,2021-09-18T00:00:00Z
314.462163,2021-09-19T00:00:00Z
315.643134,2021-09-20T00:00:00Z
308.207929,2021-09-21T00:00:00Z
296.794118,2021-09-22T00:00:00Z
290.003452,2021-09-23T00:00:00Z
287.103536,2021-09-24T00:00:00Z
289.728153,2021-09-25T00:00:00Z
298.044169,2021-09-26T00:00:00Z
300.021109,2021-09-27T00:00:00Z
294.765522,2021-09-28T00:00:00Z
290.04658,2021-09-29T00:00:00Z
288.676379,2021-09-30T00:00:00Z
282.573759,2021-10-01T00:00:00Z
289.569615,2021-10-02T00:00:00Z
311.51369,2021-10-03T00:00:00Z
307.627683,2021-10-04T00:00:00Z
298.806068,2021-10-05T00:00:00Z
295.299885,2021-10-06T00:00:00Z
289.187177,2021-10-07T00:00:00Z
285.536374,2021-10-08T00:00:00Z
288.356987,2021-10-09T00:00:00Z
305.196097,2021-10-10T00:00:00Z
303.264244,2021-10-11T00:00:00Z
293.423279,2021-10-12T00:00:00Z
291.815733,2021-10-13T00:00:00Z
296.342415,2021-10-14T00:00:00Z
294.466931,2021-10-15T00:00:00Z
290.803319,2021-10-16T00:00:00Z
304.515842,2021-10-17T00:00:00Z
307.88004,2021-10-18T00:00:00Z
293.350841,2021-10-19T00:00:00Z
290.024933,2021-10-20T00:00:00Z
290.061283,2021-10-21T00:00:00Z
285.789454,2021-10-22T00:00:00Z
285.545557,2021-10-23T00:00:00Z
298.434372,2021-10-24T00:00:00Z
306.969548,2021-10-25T00:00:00Z
302.401224,2021-10-26T00:00:00Z
300.752618,2021-10-27T00:00:00Z
296.412615,2021-10-28T00:00:00Z
295.073539,2021-10-29T00:00:00Z
288.224837,2021-10-30T00:00:00Z
299.045244,2021-10-31T00:00:00Z
299.159759,2021-11-01T00:00:00Z
304.707081,2021-11-02T00:00:00Z
292.139826,2021-11-03T00:00:00Z
284.922743,2021-11-04T00:00:00Z
281.292182,2021-11-05T00:00:00Z
276.604923,2021-11-06T00:00:00Z
297.574926,2021-11-07T00:00:00Z
295.989931,2021-11-08T00:00:00Z
298.594477,2021-11-09T00:00:00Z
287.301336,2021-11-10T00:00:00Z
288.235658,2021-11-11T00:00:00Z
283.859793,2021-11-12T00:00:00Z
287.04484,2021-11-13T00:00:00Z
304.855123,2021-11-14T00:00:00Z
304.107156,2021-11-15T00:00:00Z
288.578229,2021-11-16T00:00:00Z
291.237326,2021-11-17T00:00:00Z
291.538066,2021-11-18T00:00:00Z
277.398197,2021-11-19T00:00:00Z
275.038923,2021-11-20T00:00:00Z
291.316483,2021-11-21T00:00:00Z
289.021524,2021-11-22T00:00:00Z
282.756044,2021-11-23T00:00:00Z
279.652336,2021-11-24T00:00:00Z
276.586801,2021-11-25T00:00:00Z
272.844272,2021-11-26T00:00:00Z
283.460496,2021-11-27T00:00:00Z
298.083087,2021-11-28T00:00:00Z
294.986202,2021-11-29T00:00:00Z
289.19579,2021-11-30T00:00:00Z
283.421719,2021-12-01T00:00:00Z
280.178562,2021-12-02T00:00:00Z
276.868051,2021-12-03T00:00:00Z
279.427129,2021-12-04T00:00:00Z
297.187911,2021-12-05T00:00:00Z
294.434315,2021-12-06T00:00:00Z
289.098851,2021-12-07T00:00:00Z
289.178402,2021-12-08T00:00:00Z
283.888844,2021-12-09T00:00:00Z
278.682034,2021-12-10T00:00:00Z
274.324672,2021-12-11T00:00:00Z
290.512145,2021-12-12T00:00:00Z
291.548149,2021-12-13T00:00:00Z
282.605691,2021-12-14T00:00:00Z
284.506928,2021-12-15T00:00:00Z
276.710879,2021-12-16T00:00:00Z
270.207835,2021-12-17T00:00:00Z
270.672136,2021-12-18T00:00:00Z
287.783245,2021-12-19T00:00:00Z
283.736768,2021-12-20T00:00:00Z
271.438349,2021-12-21T00:00:00Z
273.133636,2021-12-22T00:00:00Z
265.038764,2021-12-23T00:00:00Z
262.739827,2021-12-24T00:00:00Z
272.649514,2021-12-25T00:00:00Z
290.816285,2021-12-26T00:00:00Z
295.275969,2021-12-27T00:00:00Z
294.884836,2021-12-28T00:00:00Z
299.279451,2021-12-29T00:00:00Z
291.52961,2021-12-30T00:00:00Z
279.313198,2021-12-31T00:00:00Z
